category_enc,supplier_enc,days_to_expiry,current_stock,stock_status,sales_velocity_7d,wastage_count_90d,turnover_rate,unit_cost,stock_cover_days,expiring_soon,risk_score
0,1,325,433,2,0.0,0,2.0,95.88,999.0,0,0.3475757544594603
2,7,283,437,2,0.0,2,5.67,420.79,999.0,0,0.31188651425742236
0,5,299,565,2,0.0,1,1.85,541.41,999.0,0,0.35753467658656507
0,5,108,255,2,16.67,13,5.84,454.7,15.29,0,0.5410916587083467
3,2,91,422,2,0.62,13,4.81,521.16,681.02,0,0.5472899179889267
4,2,360,110,0,0.0,15,1.33,493.62,999.0,0,0.445236388161473
4,3,115,24,1,16.5,10,1.67,60.26,1.45,0,0.38279919649284333
5,6,348,549,2,0.0,3,5.26,171.5,999.0,0,0.3956707680486449
4,0,56,444,2,8.64,13,3.64,316.63,51.38,0,0.47622345200136723
3,4,23,446,2,0.0,11,2.59,570.35,999.0,1,0.9404925027461648
5,1,369,307,2,12.68,10,2.41,191.48,24.22,0,0.44527453588709837
6,6,347,178,0,15.39,12,3.29,20.24,11.57,0,0.32442964602427127
6,5,239,452,2,0.0,15,4.76,576.7,999.0,0,0.6383153735128266
1,4,264,343,2,0.0,9,1.35,135.5,999.0,0,0.5209310465272192
3,7,313,74,0,0.0,12,2.97,161.51,999.0,0,0.46872696133341407
0,1,399,435,2,5.47,1,3.34,552.13,79.51,0,0.15656303190272614
2,7,342,543,2,24.7,14,3.68,437.18,21.99,0,0.49057337977892823
7,2,381,486,2,0.0,8,4.59,322.35,999.0,0,0.5612098124378138
4,7,40,292,2,5.86,10,5.36,66.74,49.81,0,0.4480996789615704
6,2,362,219,0,1.61,10,3.26,261.15,136.39,0,0.33482012674172923
6,6,395,598,2,0.0,12,2.86,566.79,999.0,0,0.585833518284686
6,6,276,559,2,0.0,15,1.32,272.78,999.0,0,0.5534829783936058
5,6,371,169,0,0.0,0,5.44,363.3,999.0,0,0.16955997082033936
1,6,70,472,2,4.54,12,1.96,283.73,103.89,0,0.4705000657688645
6,4,386,431,2,0.0,15,0.12,332.86,999.0,0,0.7053369505291025
5,3,333,70,0,0.0,0,5.7,135.63,999.0,0,0.07244560207843989
2,3,65,484,2,0.0,14,4.2,464.8,999.0,0,0.5701346972041362
1,2,160,110,0,14.47,12,2.38,434.71,7.6,0,0.2991195773411672
3,1,357,308,2,0.0,1,2.08,268.46,999.0,0,0.3064685051461668
5,0,216,501,2,2.64,14,4.24,272.58,189.88,0,0.518055436481607
4,7,239,446,2,20.64,10,5.11,501.82,21.61,0,0.44039954776668094
7,3,385,475,2,14.25,10,0.17,513.55,33.34,0,0.4849327833941015
3,5,133,348,2,6.99,0,3.1,130.81,49.77,0,0.1389627260447216
6,7,285,246,0,17.27,14,4.76,73.97,14.25,0,0.3165915680567036
3,4,340,595,2,9.23,13,5.98,339.23,64.5,0,0.4722172633137002
7,4,157,257,2,0.0,10,0.72,330.8,999.0,0,0.6527696152368796
2,3,111,495,2,6.91,3,5.0,191.82,71.61,0,0.24930572829792638
4,0,363,546,2,0.0,1,3.32,424.5,999.0,0,0.2771535391550091
7,1,7,587,2,7.11,14,2.04,579.99,82.58,1,0.7402974068591567
7,1,34,410,2,0.0,4,0.9,346.45,999.0,0,0.39865284114739014
3,1,286,426,2,0.0,12,2.7,276.78,999.0,0,0.6532199998991416
6,4,292,61,0,0.0,6,3.75,173.49,999.0,0,0.27174249585603816
3,2,283,76,0,3.91,14,4.14,292.55,19.42,0,0.2939167826457109
4,4,360,464,2,0.0,8,4.73,382.53,999.0,0,0.5653419651424042
3,6,59,557,2,0.0,8,4.96,61.42,999.0,0,0.5059107347064871
4,4,225,127,0,11.72,12,5.66,310.27,10.84,0,0.3492554263214101
1,0,222,330,2,0.0,2,1.37,411.09,999.0,0,0.3972620247380726
0,4,296,41,0,0.0,15,3.11,276.49,999.0,0,0.4233787886930905
6,7,47,481,2,8.7,10,4.02,517.49,55.29,0,0.4695764396294758
7,4,340,410,2,0.0,14,0.53,166.39,999.0,0,0.5827762419055257
6,0,337,555,2,0.0,6,3.11,381.13,999.0,0,0.48181917228586263
7,0,105,273,2,13.73,14,5.29,301.13,19.88,0,0.4334643330929996
3,2,160,564,2,0.34,2,1.35,508.02,1649.79,0,0.2076153341485094
1,2,256,298,2,12.72,13,5.01,588.54,23.42,0,0.4592477087290166
2,6,98,520,2,0.0,2,1.66,478.2,999.0,0,0.34379309082616144
4,0,145,305,2,20.94,4,2.68,300.92,14.57,0,0.27789279468529
6,7,165,193,0,0.0,12,1.4,469.82,999.0,0,0.4152376758916762
7,6,198,155,0,0.0,4,3.01,362.3,999.0,0,0.3223640376034659
7,1,270,467,2,0.0,13,5.23,582.57,999.0,0,0.558979389789245
4,5,320,407,2,16.25,12,5.72,383.54,25.05,0,0.5364926419491187
7,0,317,70,0,5.87,7,4.48,271.7,11.93,0,0.20581317516598377
1,7,86,306,2,0.0,10,4.78,190.15,999.0,0,0.5949809307730378
2,3,272,421,2,0.0,5,1.05,373.51,999.0,0,0.4359053158340249
3,7,299,146,0,5.8,14,1.53,25.45,25.15,0,0.3865559692370175
4,2,38,452,2,23.63,13,4.14,284.96,19.13,0,0.46625460046459766
6,7,55,242,0,9.53,9,5.96,191.23,25.38,0,0.37535333814922356
6,4,5,579,2,0.0,15,5.0,543.7,999.0,1,0.9230889175524057
3,5,113,194,0,0.0,3,5.42,394.88,999.0,0,0.22307194607431632
7,0,297,373,2,0.0,9,1.96,260.99,999.0,0,0.5420953753580092
5,4,85,263,2,22.85,9,4.48,216.45,11.51,0,0.4118203648939712
1,2,387,231,0,21.5,11,0.54,248.85,10.74,0,0.34006233926583085
1,7,189,268,2,14.61,3,4.05,293.46,18.34,0,0.2803456240453436
5,3,332,64,0,15.89,9,3.9,87.67,4.03,0,0.2634416173216059
0,4,253,118,0,0.0,12,2.72,408.88,999.0,0,0.47917681458278055
6,2,213,101,0,20.84,8,0.2,234.91,4.85,0,0.31135406148207295
3,5,51,376,2,13.61,1,2.39,130.09,27.62,0,0.15665916629047166
7,1,340,217,0,0.0,1,4.72,161.27,999.0,0,0.13711086623696514
3,1,392,567,2,0.0,7,1.97,105.58,999.0,0,0.562063724275811
0,4,75,133,0,0.0,3,3.97,34.95,999.0,0,0.16778323926768507
3,5,9,178,0,0.0,13,3.16,452.49,999.0,1,0.74714951585079
5,1,232,515,2,0.0,9,2.75,579.14,999.0,0,0.5252990488993408
7,6,219,110,0,12.26,2,5.4,206.82,8.97,0,0.051800059079243746
2,4,320,599,2,13.71,12,5.97,327.72,43.69,0,0.4844458501090566
6,1,360,117,0,0.0,13,2.71,152.53,999.0,0,0.43067179426022095
7,6,213,97,0,7.81,8,2.25,108.53,12.41,0,0.33675820428812614
1,1,44,95,0,10.8,4,3.34,360.15,8.8,0,0.1653903696790487
5,1,211,362,2,21.84,1,5.81,368.24,16.57,0,0.1841975422831779
3,2,337,493,2,0.0,11,5.07,233.19,999.0,0,0.641512675832422
3,6,288,570,2,0.66,0,1.08,427.57,868.44,0,0.16707816265958922
5,5,4,185,0,21.75,2,0.85,387.24,8.51,1,0.32362893480940425
3,6,215,464,2,8.52,9,4.33,470.56,54.44,0,0.46611122679372774
1,0,80,161,0,0.0,2,1.63,403.92,999.0,0,0.21227940458691955
7,6,140,220,0,0.0,11,2.58,184.28,999.0,0,0.49141835057121597
7,4,24,225,0,0.0,0,1.23,568.29,999.0,1,0.46208194327703256
4,4,168,122,0,0.19,5,0.78,328.9,631.31,0,0.16660871750698758
5,1,204,43,0,10.91,2,5.17,353.94,3.94,0,0.10280796170630116
6,4,59,414,2,0.52,5,4.81,378.51,793.99,0,0.3898431095686049
5,1,224,108,0,6.08,2,2.37,199.96,17.75,0,0.07474159373781566
5,2,40,522,2,0.0,11,2.11,575.77,999.0,0,0.6274531571403477
2,3,53,149,0,0.0,4,4.56,400.2,999.0,0,0.2192575354736675
7,7,387,577,2,19.0,10,5.19,383.79,30.37,0,0.4481148881671692
1,7,227,310,2,0.0,11,3.04,200.04,999.0,0,0.6042296636440818
0,5,147,78,0,0.0,12,2.78,341.5,999.0,0,0.485018135671843
0,7,293,192,0,8.04,4,5.75,281.3,23.89,0,0.19531601735871448
5,1,259,176,0,0.98,14,3.14,373.69,179.86,0,0.35366775516228555
4,6,210,346,2,0.0,10,0.4,74.81,999.0,0,0.6555866763536775
4,4,371,153,0,0.0,11,1.86,400.51,999.0,0,0.4894562188315016
2,1,159,572,2,9.42,4,4.02,500.8,60.74,0,0.32665296065553795
1,6,261,370,2,0.46,5,5.71,218.2,811.82,0,0.38193874492013835
3,3,71,158,0,0.0,1,3.97,528.31,999.0,0,0.19616377585922096
6,2,84,185,0,0.0,14,0.26,231.29,999.0,0,0.5258640981457945
7,4,386,459,2,0.0,9,5.79,474.93,999.0,0,0.6264769205764951
3,5,348,584,2,24.61,9,4.67,311.69,23.73,0,0.44823929920756955
2,3,310,141,0,0.0,15,5.24,341.63,999.0,0,0.40231076780980907
1,4,43,164,0,0.0,13,0.55,548.09,999.0,0,0.5259931339844777
5,0,213,54,0,9.91,7,2.32,67.33,5.45,0,0.22094465103285393
5,1,366,343,2,0.0,1,1.72,501.26,999.0,0,0.3455286386291181
2,7,230,5,1,0.0,8,1.29,106.72,999.0,0,0.43882711392095813
6,1,398,295,2,0.0,1,1.43,390.59,999.0,0,0.3367372682009164
1,1,256,548,2,0.0,4,1.75,20.91,999.0,0,0.4003379247551241
6,2,341,87,0,13.09,2,5.72,335.57,6.65,0,0.1283694803014381
0,6,241,44,0,15.89,8,4.48,227.11,2.77,0,0.2341071469290279
3,1,396,595,2,18.38,4,0.27,336.69,32.37,0,0.36498049867588067
2,7,357,490,2,0.0,2,4.3,567.29,999.0,0,0.2984380548239731
3,0,103,42,0,7.89,12,5.93,334.96,5.32,0,0.32039765182431407
3,4,183,48,0,21.64,8,0.75,233.45,2.22,0,0.3428643800628218
7,6,174,191,0,12.41,11,5.55,321.18,15.4,0,0.38613777048821285
6,1,221,184,0,13.64,3,0.48,403.33,13.49,0,0.12356296407289145
6,2,354,454,2,0.0,11,3.69,272.27,999.0,0,0.6267363172590976
0,1,344,415,2,0.0,0,0.86,372.39,999.0,0,0.32949036396220405
0,2,35,241,0,19.46,11,2.3,349.0,12.38,0,0.36261137946257427
7,5,191,454,2,0.0,11,2.39,396.75,999.0,0,0.5799533983712077
1,0,377,190,0,12.48,3,1.57,170.97,15.23,0,0.11955277348867394
4,7,103,125,0,0.0,14,1.04,433.75,999.0,0,0.509671488482765
5,5,364,66,0,13.75,9,5.11,432.85,4.8,0,0.3692789348067814
2,5,261,229,0,0.0,4,1.42,306.53,999.0,0,0.2613075829333259
5,7,283,132,0,0.0,2,1.86,599.77,999.0,0,0.22026435918688636
6,6,295,75,0,3.13,2,2.7,414.46,23.94,0,0.07534177368432396
2,2,222,514,2,0.0,3,3.11,196.39,999.0,0,0.34543603514670795
3,5,266,290,2,21.15,6,3.81,339.49,13.71,0,0.3170204354152283
4,1,258,172,0,0.0,5,3.95,437.97,999.0,0,0.3226166689434227
0,0,42,46,0,23.71,6,4.6,261.62,1.94,0,0.23867894306506446
7,4,329,309,2,12.07,9,2.72,419.4,25.59,0,0.4169696536418249
6,7,238,208,0,0.0,10,5.17,205.2,999.0,0,0.5285628043360507
5,6,67,379,2,0.0,10,1.45,91.06,999.0,0,0.6039515214394797
2,1,26,297,2,23.63,7,5.78,543.34,12.57,1,0.711617341572734
5,3,391,163,0,12.46,15,5.27,308.47,13.09,0,0.3008058914052541
6,7,124,220,0,0.0,1,1.69,366.56,999.0,0,0.22314195762955547
7,4,275,8,1,21.18,4,5.29,441.95,0.38,0,0.18966281169943874
5,0,206,52,0,0.0,11,3.32,62.65,999.0,0,0.4505106634947845
4,1,66,99,0,9.85,11,4.53,135.45,10.05,0,0.35109470194702186
0,0,20,140,0,17.84,14,0.89,538.02,7.85,1,0.5910279587943359
5,2,202,306,2,14.84,9,2.85,29.65,20.62,0,0.43774875122947077
1,6,299,315,2,0.0,15,1.59,400.24,999.0,0,0.6666468236829298
3,0,299,491,2,4.26,4,4.93,160.47,115.18,0,0.30670843256849517
1,3,10,451,2,0.0,13,4.14,258.02,999.0,1,0.9229966762168509
7,0,362,141,0,12.97,15,3.15,201.98,10.87,0,0.31078189086287933
5,5,347,270,2,0.0,7,1.67,193.13,999.0,0,0.5669782655592954
4,4,361,212,0,17.26,10,2.88,345.08,12.29,0,0.4021382467109609
4,4,63,587,2,16.92,12,4.91,573.67,34.7,0,0.5265539000747884
4,0,148,80,0,8.66,8,4.48,144.11,9.24,0,0.3253542044209641
4,4,71,111,0,0.0,7,0.3,545.01,999.0,0,0.3488968943640083
3,0,52,423,2,8.26,3,4.09,99.73,51.23,0,0.32174225206704665
2,6,335,487,2,0.0,9,1.93,394.62,999.0,0,0.6269524350482748
1,3,274,38,0,0.0,13,5.29,121.96,999.0,0,0.500356177422112
6,7,96,296,2,0.0,9,3.41,82.23,999.0,0,0.6359592666045208
4,7,329,556,2,0.0,14,1.64,489.11,999.0,0,0.5896820916198142
7,4,368,190,0,0.35,9,3.41,459.22,539.61,0,0.29905938966061585
6,6,264,335,2,0.0,5,5.89,296.92,999.0,0,0.5022990464401667
0,4,197,241,0,11.17,10,1.81,439.27,21.58,0,0.2913722881033001
5,3,32,121,0,0.0,12,4.12,555.4,999.0,0,0.496536169681153
4,1,328,302,2,0.0,7,5.74,297.35,999.0,0,0.5085974407324805
5,6,360,562,2,0.0,7,4.08,365.57,999.0,0,0.5484844827787909
7,5,40,577,2,0.0,4,0.99,515.6,999.0,0,0.41153194873929455
3,7,47,522,2,0.0,14,0.79,260.95,999.0,0,0.6260027006547818
7,4,371,22,1,0.0,6,3.47,46.27,999.0,0,0.30334346398745615
1,0,36,483,2,0.79,5,4.61,464.18,608.79,0,0.4073999941908921
6,5,196,459,2,21.74,12,0.48,579.2,21.11,0,0.555686448371863
2,5,61,182,0,24.82,4,4.37,149.16,7.33,0,0.09841679539338893
0,4,238,557,2,10.6,7,1.49,220.77,52.53,0,0.3670779673354153
1,0,339,429,2,0.0,7,1.24,78.52,999.0,0,0.45802915309051373
0,3,380,45,0,0.0,6,4.53,470.12,999.0,0,0.27881626901378853
4,3,375,589,2,7.97,7,1.81,103.09,73.88,0,0.4132254908572892
3,6,154,281,2,0.0,13,3.34,47.19,999.0,0,0.5913297795727132
6,5,357,426,2,10.21,12,1.1,332.0,41.74,0,0.4589161826813289
3,4,363,147,0,0.0,13,5.81,343.23,999.0,0,0.4060911301270893
3,4,105,338,2,16.17,11,0.55,440.26,20.91,0,0.4706664350452413
4,6,345,40,0,0.0,6,2.88,524.29,999.0,0,0.30195571729825854
0,3,98,120,0,18.67,7,4.17,428.19,6.43,0,0.24159584717314822
3,5,398,289,2,9.52,9,1.57,317.43,30.37,0,0.4576732751721181
1,7,390,327,2,22.86,10,2.48,346.26,14.31,0,0.456552891797947
2,0,134,566,2,23.37,9,0.91,211.32,24.22,0,0.4470020345247442
3,7,282,345,2,6.43,15,2.76,445.01,53.63,0,0.4722611401998392
2,7,95,555,2,0.0,1,5.03,63.11,999.0,0,0.36015950930257046
0,0,212,140,0,0.0,2,4.24,25.3,999.0,0,0.19468795036316783
5,0,317,494,2,0.0,0,3.19,258.58,999.0,0,0.23200713771231563
4,4,9,514,2,20.33,5,0.64,75.86,25.28,1,0.5821837554021518
3,4,182,273,2,0.0,11,5.76,286.22,999.0,0,0.5791849473031458
3,4,351,82,0,0.0,2,2.43,238.76,999.0,0,0.19112061201582695
0,2,43,511,2,21.13,3,5.37,553.11,24.18,0,0.233571979652122
7,4,24,76,0,17.11,1,1.08,513.25,4.44,1,0.2838789714230322
3,2,386,407,2,23.22,5,3.38,348.68,17.53,0,0.3719330910347312
5,6,387,143,0,0.0,11,0.32,273.51,999.0,0,0.5177538152462065
5,6,397,334,2,0.74,14,2.94,226.37,450.96,0,0.5629371413964871
6,2,349,599,2,0.0,9,4.79,433.6,999.0,0,0.5278445611607779
2,6,365,157,0,18.49,11,0.64,23.01,8.49,0,0.3414198743656531
5,4,53,135,0,2.18,14,3.34,317.22,61.86,0,0.3023951512809949
1,5,284,95,0,14.92,12,0.07,260.01,6.37,0,0.4205385451027793
3,2,351,389,2,4.24,9,1.61,104.64,91.8,0,0.418064888091096
4,6,154,495,2,19.57,8,5.67,438.12,25.3,0,0.4254962924067436
3,7,55,138,0,7.62,10,5.05,240.34,18.12,0,0.3934637972678617
7,5,221,139,0,0.0,15,1.89,579.45,999.0,0,0.5062470266096034
4,7,295,248,0,8.15,12,2.19,560.6,30.44,0,0.31397600584527285
2,0,373,472,2,0.0,14,4.79,502.14,999.0,0,0.5582990406325151
6,7,72,310,2,0.0,13,4.73,62.9,999.0,0,0.6688840737324362
7,6,274,518,2,23.09,1,4.74,228.53,22.44,0,0.2494601818433079
1,1,394,254,2,16.44,5,3.88,45.69,15.45,0,0.38803298471423797
6,5,221,108,0,0.26,7,3.06,320.9,409.57,0,0.2636621954628805
3,7,192,400,2,0.0,11,5.99,300.01,999.0,0,0.5854518664622087
1,1,374,145,0,8.71,14,4.71,322.25,16.65,0,0.33179603559627757
1,7,370,463,2,7.97,1,4.86,86.75,58.07,0,0.24390160096562918
1,2,380,249,0,0.0,10,3.36,575.91,999.0,0,0.43782266568936923
6,2,96,442,2,0.0,14,3.55,245.52,999.0,0,0.6345682739151681
3,4,386,64,0,0.0,11,1.96,285.38,999.0,0,0.4214824074542833
7,5,306,397,2,0.0,11,2.11,285.56,999.0,0,0.5707033015612407
4,1,345,137,0,0.0,9,0.7,236.52,999.0,0,0.38689528823918334
6,6,306,141,0,14.37,5,2.92,331.68,9.81,0,0.24029931960576184
2,2,251,295,2,3.51,14,3.72,522.0,84.11,0,0.544221034058556
7,2,100,393,2,24.1,13,4.11,261.07,16.31,0,0.5307870162521467
7,2,43,578,2,0.0,9,0.2,150.41,999.0,0,0.5847936163710087
7,7,282,523,2,0.0,8,4.65,497.5,999.0,0,0.5300234126526505
0,7,280,223,0,0.0,7,1.79,599.6,999.0,0,0.3679678811396496
5,1,225,120,0,0.0,6,4.86,361.0,999.0,0,0.30407570093367875
6,2,316,142,0,0.0,1,3.42,328.72,999.0,0,0.1736229223061519
2,5,361,299,2,7.23,3,0.81,455.05,41.34,0,0.2628502092300875
0,4,336,129,0,0.0,7,0.88,206.82,999.0,0,0.32860814238072983
6,7,73,591,2,15.81,12,2.71,387.5,37.38,0,0.5356150097568788
1,6,264,284,2,17.37,14,5.7,209.83,16.35,0,0.43029677021703816
1,7,326,366,2,21.25,6,5.81,498.41,17.22,0,0.3613657937066586
5,4,173,560,2,14.45,10,5.36,462.11,38.76,0,0.43551315107903604
7,0,64,161,0,0.0,13,1.21,419.38,999.0,0,0.4258295704860816
4,2,141,95,0,16.36,2,2.23,544.2,5.81,0,0.053863009499121255
6,4,372,239,0,0.0,3,0.01,296.55,999.0,0,0.24166326215878473
3,7,5,8,1,0.0,13,4.16,297.07,999.0,1,0.6974736240950852
1,1,53,320,2,9.19,4,2.3,491.75,34.82,0,0.3429396754501578
2,1,272,576,2,0.0,14,2.11,143.57,999.0,0,0.6397922603649265
6,7,112,88,0,0.0,3,3.54,242.74,999.0,0,0.2815898452663917
5,2,127,283,2,0.0,9,4.67,420.48,999.0,0,0.6197470525327952
4,3,266,521,2,4.72,9,3.88,474.6,110.47,0,0.49325336380720575
3,7,198,115,0,0.0,0,5.92,561.68,999.0,0,0.08583794568792424
6,5,280,176,0,0.0,0,3.52,28.0,999.0,0,0.11588915262206809
0,6,260,293,2,15.71,13,4.21,67.81,18.65,0,0.49438777792840183
2,4,43,317,2,0.0,4,3.22,246.62,999.0,0,0.43411530968239087
1,4,358,447,2,0.0,1,1.47,556.28,999.0,0,0.27591838978532424
0,4,342,179,0,0.0,0,0.98,572.75,999.0,0,0.15344081210291116
4,2,191,129,0,18.74,3,4.63,37.03,6.88,0,0.16285294159888436
4,1,135,590,2,15.69,14,3.06,52.15,37.61,0,0.5331231739224965
2,5,81,261,2,0.0,7,4.44,21.49,999.0,0,0.5570426810946422
0,3,24,483,2,0.0,5,5.59,517.34,999.0,1,0.7363437746195038
6,3,165,254,2,10.41,8,4.96,351.49,24.41,0,0.3803281115609774
0,2,115,528,2,24.54,2,5.26,522.3,21.52,0,0.2668232975407063
4,5,45,566,2,11.42,6,1.75,475.01,49.57,0,0.3907491184080102
3,7,189,505,2,0.0,7,0.9,560.79,999.0,0,0.4607333002867478
5,0,172,1,1,18.97,9,0.62,327.29,0.05,0,0.3016323466981296
7,0,73,286,2,0.0,13,4.21,236.05,999.0,0,0.6669465748201902
1,1,259,136,0,15.93,2,3.55,56.12,8.54,0,0.11349327137847388
2,3,150,267,2,21.27,10,1.91,177.73,12.55,0,0.4389624922962976
3,2,400,598,2,0.0,5,2.7,202.14,999.0,0,0.40448840844862877
5,3,232,315,2,0.0,2,0.95,417.91,999.0,0,0.3953387120570341
0,3,168,151,0,0.0,11,2.38,48.39,999.0,0,0.4458608853162826
2,0,208,463,2,0.0,3,2.77,486.26,999.0,0,0.3427751647127747
0,0,400,227,0,3.27,11,4.12,563.79,69.46,0,0.30008473090737203
4,1,12,66,0,4.94,4,0.55,511.42,13.35,1,0.4929915917409009
1,0,237,51,0,4.2,12,2.98,241.98,12.14,0,0.3411996822114055
5,3,96,281,2,0.0,1,3.68,377.85,999.0,0,0.33967340805688967
7,6,282,490,2,1.52,12,0.82,135.69,321.42,0,0.5632216578353002
3,0,196,367,2,11.99,11,5.48,311.39,30.6,0,0.47660575294831603
2,0,164,224,0,0.73,1,4.85,293.58,305.77,0,0.06489194712058499
3,2,52,253,2,16.42,1,4.58,569.73,15.41,0,0.21108305303439953
6,5,89,180,0,5.91,11,5.48,36.36,30.44,0,0.3740672964021702
2,3,253,555,2,7.73,1,0.54,154.92,71.83,0,0.1865953025587726
7,0,170,206,0,20.16,5,5.51,509.68,10.22,0,0.16883065735658048
0,2,301,145,0,19.36,2,2.24,566.32,7.49,0,0.0814714674824625
1,5,155,330,2,0.0,13,4.75,577.18,999.0,0,0.6279016318773777
2,5,115,179,0,9.46,4,1.07,21.04,18.92,0,0.18224101377907231
6,0,94,325,2,0.0,3,5.62,101.57,999.0,0,0.4154411993722379
3,5,164,171,0,0.0,10,2.68,173.82,999.0,0,0.43994490357623345
1,5,132,110,0,0.0,12,2.63,263.4,999.0,0,0.4099606131475138
6,7,194,359,2,0.0,15,4.73,355.27,999.0,0,0.6409892252270821
3,2,232,75,0,0.0,9,0.12,171.45,999.0,0,0.4057482862205207
5,2,193,164,0,0.0,10,3.56,375.91,999.0,0,0.4679284143786174
0,6,335,168,0,15.18,5,0.32,212.03,11.07,0,0.27407443224263367
6,4,339,288,2,0.0,1,2.36,338.8,999.0,0,0.3209137931051165
0,5,2,437,2,2.19,6,0.58,140.03,199.48,1,0.6753060236933888
1,7,60,315,2,19.62,15,5.37,173.7,16.05,0,0.5070239659048253
6,2,190,390,2,9.24,1,1.58,289.73,42.23,0,0.16914907363392004
4,0,78,99,0,2.14,13,5.82,362.04,46.2,0,0.35643222873894903
6,6,275,486,2,0.0,15,1.79,248.99,999.0,0,0.6524727786013237
0,2,62,459,2,0.0,6,4.85,93.19,999.0,0,0.4728049879178719
6,3,322,151,0,20.85,10,5.46,550.22,7.24,0,0.29804143436583347
6,6,283,333,2,21.42,0,4.72,381.37,15.55,0,0.17270744125397713
6,1,213,153,0,0.0,3,3.38,78.57,999.0,0,0.2203311424858647
5,6,136,392,2,16.37,1,1.03,253.72,23.95,0,0.2161893386322158
6,0,203,339,2,0.0,15,5.53,540.28,999.0,0,0.5524279466311927
4,4,144,503,2,0.0,7,0.81,585.05,999.0,0,0.5149207485673458
5,4,374,426,2,0.0,6,2.65,549.79,999.0,0,0.47086044330085347
7,5,29,527,2,0.0,9,4.26,253.96,999.0,1,0.8916619715553183
0,2,99,205,0,0.0,1,2.74,552.46,999.0,0,0.20655607342640436
4,5,238,517,2,0.0,0,1.45,303.5,999.0,0,0.2835324119129035
7,5,177,167,0,20.94,2,1.71,244.21,7.97,0,0.053548888671834466
3,3,332,230,0,16.94,13,3.08,521.49,13.58,0,0.40605660268745364
0,7,68,177,0,0.0,7,1.51,486.95,999.0,0,0.3506551638061468
4,6,193,357,2,0.0,14,1.81,321.97,999.0,0,0.6248327315424256
1,0,262,383,2,14.04,9,4.11,299.41,27.29,0,0.4383540384665379
4,5,142,267,2,16.4,6,0.9,463.98,16.28,0,0.4139794142444618
6,5,349,143,0,18.03,9,1.56,262.77,7.93,0,0.3045929905206551
0,3,176,227,0,17.16,11,3.04,510.34,13.23,0,0.39087664335156797
2,4,50,482,2,3.2,5,5.68,541.76,150.69,0,0.3485321573221384
3,5,115,314,2,10.51,11,1.56,190.55,29.87,0,0.5321456665853692
7,0,325,597,2,0.0,15,5.34,310.28,999.0,0,0.6540997305637876
6,4,212,55,0,0.0,4,5.95,218.75,999.0,0,0.3164629919255408
7,2,162,184,0,19.47,10,3.79,122.56,9.45,0,0.3661398762983205
0,7,141,214,0,0.0,5,2.94,462.87,999.0,0,0.2605649612510854
6,6,207,439,2,24.13,0,0.23,135.66,18.19,0,0.18571809221729943
0,5,388,543,2,0.0,7,1.36,528.65,999.0,0,0.49145107125842347
